ReleaseDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20180410,TOTAL,"204,432,995.85","46,331,775.57","29,478,692.62","24,519,654.40","6,064,704.49","344,412.98",2018-04-10,2018-04-16,2
20180403,TOTAL,"206,468,222.83","44,568,072.07","30,266,535.24","23,536,636.50","6,207,278.31","125,490.97",2018-04-03,2018-04-09,2
20180327,TOTAL,"203,228,498.95","47,410,154.16","32,733,805.38","21,860,838.76","5,816,713.14","122,225.52",2018-03-27,2018-04-02,2
20180320,TOTAL,"203,277,687.54","48,484,822.70","29,381,867.65","25,367,920.95","4,617,423.56","42,513.51",2018-03-20,2018-03-26,2
20180313,TOTAL,"199,461,984.05","52,059,398.61","29,901,042.06","26,762,410.95","2,944,886.73","42,513.51",2018-03-13,2018-03-19,2
20180306,TOTAL,"195,444,454.01","59,209,307.34","27,682,172.16","26,111,355.46","2,701,602.80","23,344.13",2018-03-06,2018-03-12,2
20180227,TOTAL,"192,372,361.81","61,496,163.81","29,782,153.94","25,747,068.81","1,774,487.53",0.00,2018-02-27,2018-03-05,2
20180220,TOTAL,"180,319,942.31","56,867,210.91","38,377,687.96","33,149,114.41","2,458,280.30",0.00,2018-02-20,2018-02-26,2
20180213,TOTAL,"186,353,768.53","47,461,216.32","41,514,319.78","33,479,456.05","2,363,475.23",0.00,2018-02-13,2018-02-19,2
20180206,TOTAL,"144,574,880.56","76,076,652.08","49,138,282.91","39,591,936.69","1,790,483.67",0.00,2018-02-06,2018-02-12,2
20180130,TOTAL,"141,538,196.50","81,651,441.00","52,592,553.24","33,899,846.53","1,490,198.64",0.00,2018-01-30,2018-02-05,2
20180123,TOTAL,"143,360,388.30","91,007,939.75","62,598,520.63","13,956,445.13","248,942.11",0.00,2018-01-23,2018-01-29,2
20180116,TOTAL,"147,546,935.78","95,053,229.81","59,507,287.60","8,864,386.19","200,396.52",0.00,2018-01-16,2018-01-22,2
20180109,TOTAL,"156,471,970.40","87,619,395.32","59,430,854.04","7,472,055.30","177,960.85",0.00,2018-01-09,2018-01-15,2
20180102,TOTAL,"163,713,615.00","85,455,865.01","55,746,166.53","6,098,844.43","157,744.94",0.00,2018-01-02,2018-01-08,2
20171226,TOTAL,"174,863,137.54","78,744,405.83","53,123,186.97","4,283,824.31","157,681.25",0.00,2017-12-26,2018-01-01,2
20171219,TOTAL,"166,710,613.05","84,634,534.68","48,938,082.79","9,760,525.08","1,128,480.31",0.00,2017-12-19,2017-12-25,2
20171212,TOTAL,"174,609,297.62","80,764,144.27","41,923,950.10","11,958,090.59","1,916,753.32",0.00,2017-12-12,2017-12-18,2
20171205,TOTAL,"182,800,007.13","72,326,777.65","46,586,407.55","8,504,573.65","954,469.92",0.00,2017-12-05,2017-12-11,2
20171128,TOTAL,"198,108,148.43","68,343,686.39","38,604,769.88","5,723,652.31","391,978.89",0.00,2017-11-28,2017-12-04,2
20171121,TOTAL,"222,511,634.73","55,608,642.80","28,657,473.71","4,310,290.93","84,193.75",0.00,2017-11-21,2017-11-27,2
20171114,TOTAL,"226,946,513.96","56,581,009.08","24,753,828.97","2,806,690.16","84,193.75",0.00,2017-11-14,2017-11-20,2
20171107,TOTAL,"231,899,566.44","51,058,004.39","26,815,404.91","1,308,716.95","90,543.21",0.00,2017-11-07,2017-11-13,2
20171031,TOTAL,"225,943,727.41","58,533,011.63","26,214,160.53","386,121.25","95,215.08",0.00,2017-10-31,2017-11-06,2
20171024,TOTAL,"181,116,451.47","95,845,133.81","33,877,941.35","237,494.20","95,215.08",0.00,2017-10-24,2017-10-30,2
20171017,TOTAL,"184,863,994.07","92,191,145.97","33,663,167.19","384,379.88","69,548.79",0.00,2017-10-17,2017-10-23,2
20171010,TOTAL,"175,296,731.05","103,997,783.97","31,294,493.73","487,220.91","85,041.59","10,964.65",2017-10-10,2017-10-16,2
20171003,TOTAL,"184,411,359.21","95,795,098.63","30,072,515.85","690,209.07","183,702.44","19,350.70",2017-10-03,2017-10-09,2
20170926,TOTAL,"207,190,363.82","75,608,427.87","27,380,234.87","738,801.48","219,071.48","35,336.39",2017-09-26,2017-10-02,2
20170919,TOTAL,"222,203,039.37","62,286,181.77","25,341,355.49","1,046,413.60","259,909.45","35,336.23",2017-09-19,2017-09-25,2
20170912,TOTAL,"230,484,739.18","53,231,855.63","26,045,943.69","948,441.66","402,104.67","59,151.07",2017-09-12,2017-09-18,2
20170905,TOTAL,"247,001,676.85","37,825,835.50","25,040,265.34","891,493.30","353,813.85","59,151.07",2017-09-05,2017-09-11,2
20170829,TOTAL,"245,047,367.91","47,974,671.98","16,955,675.55","865,740.77","273,841.10","54,938.59",2017-08-29,2017-09-04,2
20170822,TOTAL,"246,623,315.32","45,412,249.59","17,960,392.76","890,419.04","261,893.75","23,965.43",2017-08-22,2017-08-28,2
20170815,TOTAL,"247,778,183.20","44,958,057.60","17,290,739.21","756,534.14","339,202.49","49,519.27",2017-08-15,2017-08-21,2
20170808,TOTAL,"247,315,078.66","45,269,563.89","17,100,118.81","1,155,367.00","258,001.10","74,106.44",2017-08-08,2017-08-14,2
20170801,TOTAL,"247,326,049.68","42,110,642.31","20,244,359.04","1,139,818.03","277,260.41","74,106.44",2017-08-01,2017-08-07,2
20170725,TOTAL,"251,760,691.19","40,807,954.68","17,206,719.69","1,045,713.17","277,050.74","74,106.44",2017-07-25,2017-07-31,2
20170718,TOTAL,"253,798,610.86","38,421,341.17","18,117,826.14","540,184.89","247,441.42","46,831.42",2017-07-18,2017-07-24,2
20170711,TOTAL,"262,238,616.82","31,653,722.16","16,540,670.15","454,952.37","284,274.41",0.00,2017-07-11,2017-07-17,2
20170704,TOTAL,"257,966,918.22","37,223,313.09","15,311,050.05","497,191.41","173,763.15",0.00,2017-07-04,2017-07-10,2
20170627,TOTAL,"260,387,439.28","34,679,441.69","15,454,476.74","500,271.06","150,607.14",0.00,2017-06-27,2017-07-03,2
20170620,TOTAL,"260,873,338.54","35,040,854.18","14,728,990.22","454,349.05","74,703.91",0.00,2017-06-20,2017-06-26,2
20170613,TOTAL,"250,089,595.73","41,624,061.53","18,919,437.01","539,141.64",0.00,0.00,2017-06-13,2017-06-19,2
20170606,TOTAL,"261,286,518.05","25,765,547.27","17,101,729.67","7,018,440.91",0.00,0.00,2017-06-06,2017-06-12,2
20170530,TOTAL,"248,318,824.49","32,056,930.29","21,718,390.19","6,798,480.87","2,279,610.05",0.00,2017-05-30,2017-06-05,2
20170523,TOTAL,"247,380,982.64","33,995,932.20","20,267,502.09","7,048,509.24","2,479,309.74",0.00,2017-05-23,2017-05-29,2
20170516,TOTAL,"235,761,096.88","40,830,425.01","24,863,999.74","7,176,314.88","2,540,399.40",0.00,2017-05-16,2017-05-22,2
20170509,TOTAL,"237,998,319.54","40,519,049.71","23,011,090.85","8,808,941.70","834,834.10",0.00,2017-05-09,2017-05-15,2
20170502,TOTAL,"228,464,690.96","42,481,518.88","30,816,384.11","9,013,264.43","396,377.52",0.00,2017-05-02,2017-05-08,2
20170425,TOTAL,"213,722,941.98","56,148,813.24","33,460,850.14","7,729,658.60","109,971.96",0.00,2017-04-25,2017-05-01,2
20170418,TOTAL,"194,411,676.39","64,394,800.76","42,936,325.90","9,135,706.61","293,726.24",0.00,2017-04-18,2017-04-24,2
20170411,TOTAL,"193,891,676.27","65,585,475.40","41,621,998.10","9,779,359.89","293,726.24",0.00,2017-04-11,2017-04-17,2
20170404,TOTAL,"180,072,524.56","72,729,520.25","48,866,703.75","9,147,499.94","355,987.41",0.00,2017-04-04,2017-04-10,2
20170328,TOTAL,"159,957,532.23","73,484,529.90","61,676,502.22","15,596,340.84","457,330.73",0.00,2017-03-28,2017-04-03,2
20170321,TOTAL,"158,043,813.00","74,144,709.12","61,133,361.45","16,386,127.46","1,464,224.88",0.00,2017-03-21,2017-03-27,2
20170314,TOTAL,"153,551,524.97","67,700,372.76","65,049,183.67","23,259,342.25","1,611,812.25",0.00,2017-03-14,2017-03-20,2
20170307,TOTAL,"144,490,659.22","76,534,454.29","66,023,407.53","22,193,211.07","1,930,503.80",0.00,2017-03-07,2017-03-13,2
20170228,TOTAL,"141,075,763.78","82,539,977.87","62,005,709.59","22,716,647.49","2,834,137.17",0.00,2017-02-28,2017-03-06,2
20170221,TOTAL,"158,944,238.46","65,405,885.83","66,839,007.35","17,686,434.90","2,296,669.36",0.00,2017-02-21,2017-02-27,2
20170214,TOTAL,"157,701,698.08","63,433,265.02","67,942,616.88","20,133,005.82","1,961,650.10",0.00,2017-02-14,2017-02-20,2
20170207,TOTAL,"162,114,270.28","60,249,596.31","65,594,169.76","21,164,594.70","2,049,604.85",0.00,2017-02-07,2017-02-13,2
20170131,TOTAL,"164,268,741.66","57,896,337.54","53,475,924.82","30,438,311.50","5,092,920.39",0.00,2017-01-31,2017-02-06,2
20170124,TOTAL,"163,259,984.16","56,511,082.92","54,334,677.98","31,550,628.16","5,515,862.69",0.00,2017-01-24,2017-01-30,2
20170117,TOTAL,"139,870,359.58","63,548,462.99","52,083,032.17","28,745,533.36","24,102,556.36","2,822,291.44",2017-01-17,2017-01-23,2
20170110,TOTAL,"133,808,046.26","64,096,687.00","54,907,256.32","30,835,304.47","24,702,650.42","2,822,291.44",2017-01-10,2017-01-16,2
20170103,TOTAL,"127,909,096.91","63,955,605.59","55,624,052.30","34,612,509.16","19,839,719.29","9,231,252.66",2017-01-03,2017-01-09,2
20161227,TOTAL,"111,458,730.04","73,082,532.12","58,190,449.84","31,741,530.44","23,612,025.16","13,086,968.30",2016-12-27,2017-01-02,2
20161220,TOTAL,"110,892,050.57","66,458,293.22","64,724,992.64","31,974,447.30","19,155,992.94","17,966,459.23",2016-12-20,2016-12-26,2
20161213,TOTAL,"117,997,889.75","52,474,388.14","63,857,030.19","36,763,146.18","21,912,393.15","18,167,388.50",2016-12-13,2016-12-19,2
20161206,TOTAL,"120,657,145.20","44,961,159.04","65,669,889.13","38,911,225.12","22,800,054.09","18,172,763.32",2016-12-06,2016-12-12,2
20161129,TOTAL,"115,940,219.31","46,615,588.47","57,029,589.44","40,360,240.46","29,986,326.14","21,240,272.10",2016-11-29,2016-12-05,2
20161122,TOTAL,"116,061,365.49","46,291,103.07","56,656,239.36","42,224,099.18","28,521,813.15","21,417,615.65",2016-11-22,2016-11-28,2
20161115,TOTAL,"127,403,987.00","42,902,507.63","55,190,845.76","39,789,149.71","26,284,319.97","19,601,425.83",2016-11-15,2016-11-21,2
20161108,TOTAL,"139,364,813.70","42,478,564.21","53,893,429.49","35,677,919.92","21,769,604.62","17,987,903.98",2016-11-08,2016-11-14,2
20161101,TOTAL,"140,738,262.91","41,714,910.18","53,788,125.81","35,449,693.46","22,285,104.87","17,196,138.69",2016-11-01,2016-11-07,2
20161025,TOTAL,"149,640,297.00","41,674,173.06","43,588,019.97","38,405,450.98","21,344,759.15","16,519,535.74",2016-10-25,2016-10-31,2
20161018,TOTAL,"150,904,175.28","49,105,336.64","38,488,974.49","35,727,250.69","21,790,004.65","15,156,494.16",2016-10-18,2016-10-24,2
20161011,TOTAL,"154,177,029.99","51,086,674.60","37,862,260.15","33,280,805.74","19,800,909.41","14,964,556.01",2016-10-11,2016-10-17,2
20161004,TOTAL,"158,584,336.61","50,010,039.05","37,233,550.13","31,791,019.19","18,843,846.96","14,709,443.96",2016-10-04,2016-10-10,2
